-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
AR                           39.9480        4.9675       -0.0007      -11.0276       37.0027        4.9675        3.4864      -39.5302       43.0167
HE                            4.0030        4.9675       -0.0007       -8.9842       30.1457        4.9675        3.4864      -32.6732       36.1596
N2                           28.0140        6.9601       -0.0010      -13.6457       45.7873        7.8106        5.1296      -49.4000       54.5296
H                             1.0080        4.9675       52.0965       43.9275       27.4128        4.9675       55.5837       22.1569       33.4267
O                            15.9990        5.2366       59.5470       48.0777       38.4876        5.0005       63.0986       18.4602       44.6384
OH                           17.0070        7.1423        8.9129       -4.1711       43.9060        7.3352       13.9131      -38.5966       52.5098
H2                            2.0160        6.8910       -0.0010       -9.3066       31.2267        7.2084        4.9437      -34.7835       39.7272
O2                           31.9980        7.0206       -0.0011      -14.6099       49.0230        8.3364        5.4265      -52.7861       58.2126
HO2                          33.0060        8.3381        2.9372      -13.3775       54.7474       11.3792       10.0013      -56.5500       66.5514
H2O2                         34.0140       10.1352      -32.4741      -49.1757       56.0457       14.9450      -23.4194      -94.4908       71.0714
H2O                          18.0150        8.0266      -57.7927      -71.2392       45.1223        9.8687      -51.5774     -107.1967       55.6193
OH*                          17.0070        6.9670      102.8800       90.1241       42.8052        7.5400      107.9052       56.4987       51.4065
CO                           28.0100        6.9641      -26.4155      -40.4908       47.2326        7.9253      -21.2309      -77.2827       56.0517
CO2                          44.0090        8.8730      -94.0423     -109.2660       51.0864       12.9817      -86.0597     -150.4140       64.3543
HCO                          29.0180        8.2872       10.1076       -5.8635       53.5942       11.6637       17.1599      -48.1725       65.3324
CH2O                         30.0260        8.4558      -26.0893      -41.6675       52.2759       14.8153      -17.7750      -83.5860       65.8110
CH                           13.0190        6.9723      142.3838      129.3496       43.7388        7.7111      147.4567       95.0540       52.4027
C                            12.0110        4.9800      171.3167      160.0581       37.7805        4.9690      174.8063      131.0066       43.7997
CH2-3                        14.0270        8.3671       93.4881       79.6436       46.4580       10.5877      100.1640       42.4538       57.7102
CH2-1                        14.0270        8.0728      102.4738       88.9995       45.2158       10.5738      108.9709       52.8578       56.1131
C2H2                         26.0380       10.5126       54.5336       40.2267       48.0097       16.2290       64.3451        0.0815       64.2636
CH3                          15.0350        9.1798       35.0571       21.2420       46.3595       14.0874       43.3191      -16.6935       60.0126
