PSR	Species	NO
1055	8.03E-04	0.048
1081.6	7.84E-04	0.048
1101.5	7.61E-04	0.048
1118.1	6.62E-04	0.048
1110.3	4.79E-04	0.048
1119.2	4.15E-04	0.048
1125.8	2.28E-04	0.048
1136.9	1.41E-04	0.048
1136.9	1.16E-04	0.048
1168.9	6.53E-05	0.048
1172.2	4.00E-05	0.048
1183.3	6.52E-05	0.048
1201	5.66E-05	0.048
1207.6	7.55E-05	0.048
1225.3	4.38E-05	0.048
1237.5	4.36E-05	0.048
1239.7	6.05E-05	0.048
1256.3	8.98E-05	0.048
1247.4	4.78E-05	0.048
1290.5	1.17E-04	0.048
1314.9	1.57E-04	0.048
1351.4	2.36E-04	0.048
1376.8	3.01E-04	0.048
