PSR	m_SP	3	DeltaTemp	H2	O2			
859	0	0.1	859	0.0421760	0.1	859	0.041962667	0.1
871	0	0.1	871	0.0416443	0.1	871	0.042219000	0.1
880	0	0.1	880	0.0416687	0.1	880	0.042149333	0.1
884	0	0.1	884	0.0419597	0.1	884	0.042135333	0.1
888	0	0.1	888	0.0418697	0.1	888	0.042154333	0.1
893	0	0.1	893	0.0416427	0.1	893	0.041998000	0.1
899	0	0.1	899	0.0416057	0.1	899	0.041873900	0.1
905	0	0.1	905	0.0416875	0.1	905	0.041584000	0.1
911	0	0.1	911	0.0406344	0.1	911	0.042017600	0.1
919.5	1.5	0.1	919.5	0.0394520	0.1	919.5	0.041173333	0.1
925	2.8	0.1	925	0.0367367	0.1	925	0.040539000	0.1
933	5.1	0.1	933	0.0321157	0.1	933	0.038106333	0.1
941	8	0.1	941	0.0289867	0.1	941	0.037427000	0.1
948	9	0.1	948	0.0268250	0.1	948	0.035522250	0.1
956.45	10.88	0.1	956.45	0.0227673	0.1	956.45	0.034166333	0.1
968.5	12.84	0.1	968.5	0.0187407	0.1	968.5	0.031671667	0.1
971	14	0.1	971	0.0173373	0.1	971	0.031289000	0.1
