PSR	m_SP	4	DeltaTemp	H2	O2	CO					
827	0	0.1	827	0.029745	0.1	827	0.02989	0.1	827	0	0.1
873	1	0.1	873	0.0282165	0.1	873	0.03	0.1	873	0	0.1
878	0	0.1	878	0.0290095	0.1	878	0.029785	0.1	878	0	0.1
882	1	0.1	882	0.0271425	0.1	882	0.03	0.1	882	0	0.1
886	1.4	0.1	886	0.026665	0.1	886	0.03	0.1	886	0	0.1
889	2	0.1	889	0.026665	0.1	889	0.029065	0.1	889	0	0.1
895	4	0.1	895	0.0253695	0.1	895	0.028323	0.1	895	0	0.1
904	8	0.1	904	0.022621	0.1	904	0.026818	0.1	904	0	0.1
912	12	0.1	912	0.019047	0.1	912	0.024928	0.1	912	0	0.1
918	17	0.1	918	0.015252	0.1	918	0.0228005	0.1	918	0.0001085	0.1
924	21	0.1	924	0.010488	0.1	924	0.020857	0.1	924	0.000154	0.1
933	23	0.1	933	0.008299	0.1	933	0.020045	0.1	933	0.0002015	0.1
934	23.3	0.1	934	0.006299	0.1	934	0.0194995	0.1	934	0.0002145	0.1
948	24.6	0.1	948	0.0051945	0.1	948	0.018518	0.1	948	0.000249	0.1
954	25.35	0.1	954	0.003474	0.1	954	0.017778	0.1	954	0.0002695	0.1
962	25.301	0.1	962	0.0024895	0.1	962	0.0177332	0.1	962	0.000278	0.1
