PSR	m_SP	4	DeltaTemp	H2	O2	CO					
868	0	0.1	868	0.030000	0.1	868	0.030000	0.1	868	0.0000000	0.1
875	0	0.1	875	0.029296	0.1	875	0.030000	0.1	875	0.0000000	0.1
887	0	0.1	887	0.029296	0.1	887	0.030000	0.1	887	0.0000000	0.1
905	0	0.1	905	0.029296	0.1	905	0.030000	0.1	905	0.0000000	0.1
915	2	0.1	915	0.026634	0.1	915	0.028915	0.1	915	0.0000000	0.1
940	10	0.1	940	0.017000	0.1	940	0.023140	0.1	940	0.0002755	0.1
959	16	0.1	959	0.013237	0.1	959	0.022328	0.1	959	0.0004310	0.1
970	16.2	0.1	970	0.011057	0.1	970	0.021400	0.1	970	0.0005510	0.1
982	16	0.1	982	0.008863	0.1	982	0.019800	0.1	982	0.0006980	0.1
996	15.5	0.1	996	0.007595	0.1	996	0.019735	0.1	996	0.0007850	0.1
1005	15	0.1	1005	0.006650	0.1	1005	0.019715	0.1	1005	0.0008715	0.1
1014	15	0.1	1014	0.005729	0.1	1014	0.019725	0.1	1014	0.0009650	0.1
											
											
											
											
											
											
											
											
											
											
											
											
											
											
